"","internal_id","pieces","date"
"19",329," wednesday      i spent the day in writing, br williams   lef us in the morning for . at  oclock   in the evening we repaired to a bath in tabe  rnacle square and we baptized  persons &amp;   we had a good time though it was cold weat  her &amp; snowed most of the day the two   first baptized was mr &amp; mrs morgan with   whome we have made it our home since we   first came to ironmonger row    the other two was  &amp; [[christopher smith|christo-  pher smith]], their apprentice. i rejoice in   thes things that the number of the saints   increases in , for it has been a hard   case &amp; the work has been slow from the begin-  ing but i pray god that it may roll on from   this day forward  e i received an interesting   letter from sister    nov - she acknowledged the reception of   my two letters one of the date of aug th &amp;   the other a long mamouth sheet printed full of nov   nd which they received on the th making    days from time it was wrote, &amp; i recieved theirs   in  days. she spoke about the health of my fath-  er &amp; family &amp; other friends. it is truly cheering   to have good news f◊rom a far country &amp; to hear   from our friends by letter    december ,  ",1840-12-17
"20",329," thursday    th  spent the afternoom  with us he received our testimony we had   a good, time withh him snow storm we preached in   the evening",1840-12-17
"21",383,"may ,  ",1838-05-05
"22",383," saturday      may  we rode to sister  and spent the night  miles      may ,  ",1838-05-06
"23",383," sunday       sunday spent the day at father       may ,  ",1838-05-07
"24",383," monday       i took the parting hand with mrs  and family &amp; left in company with  elder  , then proceeded   miles further &amp; spent the night. distance of the day  miles      may ,  ",1838-05-08
"25",383," tuesday      th we walked to the navyyard at  n.h. and spent several hours visiting it which was an interes  ting sight we had a view of the war ships, the cannon, the balls, the shot &amp;c we visited one frigate of   guns &amp; one ship a man of war of  guns. i paced her upper deck &amp; found her to be  rods in length &amp;   rods in wedth at midship &amp; about  feet in hight we also visited the building containing her spars &amp; rig-  ging i should judge her anchors would weigh two tons each. o how many inventions man hath sought out  to shed the blood of his fellow man. we then walked to } massachusetts  miles  from thence to       may ,  ",1838-05-09
"26",383," wednesday      th we walked to  it  contained many important things concerning the saints. we returned to br  and had an interview with  elder  we spent the night at father holmes. distance  miles       may ,  ",1838-05-10
"27",383," thursday      th i took the parting hand with  pop    miles after visiting this town whare numbers were executed after being accused of witchery this  in the early days of the settlement, we then walked to   miles pop  we spent the night with mr   we had an interesting time together he conversed freely with me and wished like a father to give me some  advise which he did &amp; it met a welcome reception which was as follows, to always keep the outward as well  as the inward form in the spirit of god &amp; to be dictated &amp; approbated of him in all that we do. distance  mile      may ,  ",1838-05-11
"28",383," friday      th  this is a day to be remembered by me because of the great variety of events that transpired with  me, no day of my life was ever attended with more of a change of circumstances and places which my  eyes beheld &amp; ears herd &amp; heart felt than on this day. i arose in the morning refreshed by sleep &amp; took breakfast    ",1838-05-11
"29",388,"truly edefyed to again meet with this brother. i also found another family of saints residing in the same  house viz  upon the  things of the kingdom. we met at early candle light in varrick street to hold a meeting and the congregation  was principly composed of saints as there had been about one hundred baptized &amp; many of them  were present. elder  was with us also. i was called upon to preach to the people  i arose &amp; addressed the saints &amp; the spirit of god rested upon me &amp; i was much edefyed.  the saints were noble &amp; strong in god. we spent the night with brother  in greenwich street      may ,  ",1838-05-19
"30",388," saturday      may th i walked to elder   pamphlets and forwarded them to our friends abroad. i had a plesent walk with elders o. pratt  &amp;  but had now become a citizen  of  his wife &amp; daughter were saints &amp; both sick we prayed with them &amp; laid hands upon them  &amp; they receieved a blessing. they reside in watts street. we purchased a card of gillotts steel pens  represented as being the best in use. we next visited brother parker in king street no . we then  returned to br fosters in hamersly street no . i accompanied brother &amp; sister  in the  evening to market &amp; it was a peculiar scene to me. it put me in mind of the merchandize  of babylon that the revelator john spoke of. the market was one universal mass of human  beings crowded together perchasing food from the market which contained every variety of  both meet, fish &amp; vegitable. the scenery was interesting to pass through the streets which was  illuminated for miles by gas &amp; other lights i returned with brother foster &amp; spent the night distance of the day  m      may ,  ",1838-05-20
"31",388," sunday      th sunday i accumpanied the brethren to the place of meeting in varick street between vandall  and carlton which is the stated place of preaching for the saints. elder  called upon me to preach  to the people i arose &amp; spoke to them from the parable of the olive tree by in the book of mormon  by the prophet zenas the spirit of god rested upon us. at noon we dined with brother  harderbrook in carlton street. brother  dined with us. brother rogers was an interesting  man he had been a methodist for several years but had been looking for greater things than the    ",1838-05-20
"32",439,"willford woodruff's  journal vol. .   and a   synopsis of vol. .      ",1838-05-20
"33",469,"may ,  ",1839-05-30
"34",469," thursday      may th the spirit of mobocracy increases in  and the ioway &amp;c. i spent the day gardning &amp; choping wood      may ,  ",1839-05-31
"35",469," friday       i spent the day writing. i purchased a cow of  with a calf a week old and paid $ dollars for the same      june ,  ",1839-06-01
"36",469," saturday      june        june ,  ",1839-06-02
"37",469," sunday      d sunday the spirit of the mob or of a lawless bandity was manifest this morning. one was walking   in front of our houses with his drawn sword while others were riding on horsback with flags   strung upon poles crying out the mormons are despised, andc &amp; also threatning the lives of others      june ,  ",1839-06-07
"38",469," friday      th i spent the week with my family in  nothing of great interest transpired during the time      june ,  ",1839-06-08
"39",469," saturday      th i received a recommend from the first presidency to go to the nations of the earth that reads as follows      recommendation      to the saints scattered abroad, to the nations of europe, and to the world      be it known unto you that elder willford woodruff is fully authorized to preach the   gospel of jesus christ and his testimony can be relied on, he is a man of unexceptionable character   and received his authority &amp; priesthood from under the hands of the residincy authorities of the   church of jesus christ of latter day saints who was called by actual revelation from from god  therefore god will bless him and bear record by his power thereby confirming his word &amp; ministry   thus testifieth your humble servents       ill   june rd               ",1839-06-08
"40",481," {preacher}     th     {brother}        th     {superintendent} elder          st    sunday  confirmed th                        ",1839-06-08
"41",556,NA,1839-06-08
"42",571,"february ,  ",1843-02-05
"43",571," sunday      feb th sunday spent the time at home      february ,  ",1843-02-06
"44",571," monday to february ,  ",1843-02-11
"45",571," saturday      , , , , , and  spent this week in the    with the exception of monday was the election   &amp; a warm contest it was esspecially in the evening      february ,  ",1843-02-12
"46",571," sunday       sunday i spent the time at home writing      february ,  ",1843-02-13
"47",571," monday to february ,  ",1843-02-18
"48",571," saturday      ,      spent the time in the [[nauvoo printing office, nauvoo, hancock county, illinois|printing   office]] get along well with the doctrins and  covenants but we have exeeding cold weathr      february ,  ",1843-02-19
"49",571," sunday       sunday i spent the time at home      february ,  ",1843-02-20
"50",571," monday       spent the time in the       february ,  ",1843-02-21
"51",571," tuesday      st a public meeting was held at the    for the purpose of advancing the   cause of the  and other matters   thousands were assembled together &amp;  were addressed by several persons, [[peter haws|peter   haws]] addressed the meeting &amp; was followed   by  who adressed the meeting   under a figure of a pagan prophet yet he   made many interesting &amp; appropriate remarks   upon a variety of subjects esspecially concerning   the nauvoo house       president  arose &amp; addressed the   meeting as a christian prophet &amp;addressed for   about an hour much to our edefycation, many   remarks he made were plain &amp; pointed some   vary applicable to  which he afterwards   acknowledged to be true joseph said the pagan   prophet had prophesied one thing that was    ",1843-02-21
"52",610,"to son. we next visited the splended monument erected   in memory of george granvill the late duke father of the   present duke of southerland. it stands erect upon a hill   built of hewn stone, the foundation is square  feet round   it, each laying of stone is drawn into a narrow compase  about  feet each laying untill about  feet high then the   monument is round for about  feet, then the image   of the duke stands on the top being about  feet in hight   with a roll of paper in his left hand (he was a memder   of parliment) facing his splended mansion house in the vale   north of the monument. the whole monument about    feet in hight  a person at this monument has a fine view   of the mansion house which is an expensive and splended build  ing it covers about  acres built of hewn stone, having   much carved work of lions &amp; other images, their were   windows in it before the repairs or additions which the   present duke is making which it is supposed will take    years to accomplish. their are some hundreds of acres of   wood land &amp; firm paches all of which are enclosed with   a fence of  &amp;  feet high the whole of the fence composed   of solid iron their are miles of iron railing in this park   the duke has vast quantities of game, fish &amp; fowl in his  park, such as deer, hares, rabits, pheasants, ducks, geese   swan, trout &amp; many other kinds of fish. the deer are   as tame as sheep we saw about  in one drove. there   are game keepers to see that no person trespasses upon   the park, the river trent runs through the park the  duke has converted the whole of it for a distance into   a fish pool. i visited the burying ground which was   coverd with many kinds of evergreen, the publick road   running through the park is betwen two stone walls   about  feet thick,  to  high coverd with turf &amp; green grass   this duke of southerland has two other parks of   as much value as the one above named, as to his wealth   he nor no man knoweth. but as jesus said concer  ning the stones of the temple, it will in like manner be with   the monuments &amp; pride of this generation, they will spedily   be lade low in the dust together.      i walked from  atten  ded meeting at deacon    preached i spent the night at elder cordons. elder   cordon baptized one at  monday night th      ",1843-02-21
"53",632,"beach. and belongs to the city &amp; not individuals  i will reprove the lawyers &amp; docters any how  jesus did &amp; evry prophet has &amp; if i am a prophet  i shall do it, at any rate i shall do it for i profess  to be a prophet. the laws &amp; constitution of the  united states has ended up the right to corperate  cities to regulate all wharfage of shiping &amp; steem  boats &amp;c all laws of taxation is subject to the  city &amp; not individuals. and i want from this  time forth evry fool to stay at home &amp; let the steem  boats &amp; captain alone and let the peace officers alone.  how can we keep off mobs &amp; keeping innocent blood  from being shed, by striking a blow at evry thing tha  rises up in disorder &amp; i will war an eternal war with  those that oppose me while i am labouring in behalf  of the city. a man has been writing to the new york  tribune. i will not mention his name. he says  that much has been appropriated for the building the  temple that has been spent for other purposes.  but i pledge myself that any man that has paid any  old shoes, harnesses, horses, or any thing els if he will  come i will show him on book that evry farthig  has gone on book &amp; been appropriated for the  building of the temple if not so i will pledge  my head for a foot ball that this is true their  are men in our midst who are trying to build up themse  lves at our expense &amp; others in our midst that are  watching for iniquity &amp; will make a man an offender  for a word. but i will rest myself &amp; give way for  others. president  arose and made  some singular remarks quite romantic compared  the lawyiers to polewags &amp; wiglers &amp; toads. he said  they would dry up next fall these characters  he thought was made in gigard making time  when it was cheaper then in soul making time    ",1843-02-21
"54",683,"august ,  ",1844-08-05
"55",683," monday      aug th monday this is the day of election in this  state their will probably be some fighting and perhaps  some blood shed as men are geting wicked and   about ripe for judgement, their was some fighting  in the bar room below last evening but nothing   vary serious. elder  had a dream last evening  thought he was preaching to a large congregation  said the prophet  had laid the foundation  for a great work and it was now for us to build  upon it. he thought br joseph was present and appeared   natural. we took the steemer st croix and   left  we had a plesant sail   through the day and evening, though some   unplesant feelings during the evening.      august ,  ",1844-08-06
"56",683," tuesday      th  we stoped at various places on the   river among others , after   which we prepared our minds to once   more behold the city of  and embrace our   families &amp; friends we arived in the city of nauvoo at    oclock in the evening at the upper stone house  we were hailed with joy by all the citizens  we met. i accompanied the quorum of the  twelve to their families after which i was   conveyed to my own and truly felt to rejoice to once   more embrace my wife and children. i spent the night  at home with my family, thus it is with me. i have   not spent but one summer either at home or with   the church, for the last  years as my lot has been  all the day long in the vineyard. i go and come from   year to year distance from  to nauvoo  m  when we landed in the city there was a deep gloom  seemed to rest over the city of nauvoo which we never  experienced before    ",1844-08-06
"57",769,"have been a peaceable citizen but   their has been a great hugh and cry about   jo smith govornor  being shot, no   crime can be done but what it is laid to   . here i was again dragged to   the united states court, &amp; was cleared   &amp; now it comes again. but as often as   god sees fit for me to suffer i am ready   but i am as innocent of these crimes as the   angels in heaven.  i am not an enemy to manki-  nd i am a friend to mankind. i am not an enemy   to  nor any any governors or people   as to the military station i hold &amp; the cause   of my holding it is as follows. when we came   here the  required us to bear arms &amp; do   military duty according to law, &amp; as the church   had just been driven from the state of missou-  ri &amp; robed of all their property &amp; arms they were   poor &amp; destitute of armes: they were liable   to be fined for not doing duty when they had not   arms to do it with, they came to me for advice   i advised them to organize themselves into inde-  pendant companies, &amp; demand arms of the   state, this they did. again their were many   elders having licence to preach which by law   exhonorated them from military duty but the   officiers would not release them on this ground   i then told the saints that though i was clear   from military duty by law in consequence   of lameness in one of my legs, yet i would   set them the example &amp; would do duty my-  self, they then said they were willing to do duty   if they could be formed into an independant   company &amp; i could be at their head &amp; upon   this ground came the  legion &amp; i    ",1844-08-06
"58",858,"were discernible the red being on the concave  part of the circle next  the sun. on each   side of the sun at a and b towards the north   and south there were two mock suns of   different colours vary splendid and bright   in their appearance.      nd the sun was   encircled by another halo, k n i m, much   larger than the former, and parellel to it   being nearly ° in diameter and its lower   limb being sunk below the horizen about   °. it exhibited the same colours as the   first though not so bright. rd at the top of   these circles at e and i, were two inverted   arches whose common centre seemed   to lay in the zenith. the upper arch f i h   was exeedingly brilliant and beautifully   coloured and appeared to be about   ° degrees in diameter and that of the   lower one d c e about °. annother   parhelion or mock sun appeared in the   middle of the lower arch, at c whare it   coincided with the circle first described   but its colours and brightness were much   inferior to those of the collateral mock   suns at a and b.      th there appeared   a circle in b s a n t r, much larger   than any i have yet described being   about ° in diameter and of a uniform   whiteness. it was about  degrees above   the horizen, and parallel to it passing through   the tru sun, s, and the collateral parhelia   a, and b and also through two other   parhelia, t and r, sumthing about    or ° from the sun one towards   the north &amp; the other towards the south.    ",1844-08-06
"59",880,"this was truly an interesting time more   elders were ordain on this occasion than were   ever ordained in the church of latter day saints   in one day before while this was going on   elder  was delivering a discourse from   the stand to the multitude, and also their was   baptizing and confirming (from or) at the font   in the afternoon elders  &amp; [[william smith|wm   smith]], occupied the stand in the afternoon &amp;  was followed by  with few remarks &amp; the   conference closed    april ,  ",1842-04-09
"60",880," saturday      th t assembled at the house   of president  at an early hour in the mor-  ning to pay their last respeck to the body of    son of president marks who died   on the evening of the th a large procession   formed two by two and walked to the grove a large   concorse assembled president    spoke upon the occasion with much feelings &amp; inter  est among his remarks he said it is a vary solumn   &amp; awful time i never felt more solumn it calles   to mind the death of my oldest brother who died in    who   died in nauvoo. it has been hard for me to live on  earth &amp; see those young men upon whome we have lean-  ed upon as a support &amp; comfort taken from us in   the midst of their youth, yes it has been hard to   be reconciled to these things i have sometimes felt   that i should have felt more reconciled to have been   called myself if it could have been the will   of god, yet i know we ought to be still &amp; know   it is of god &amp; be reconciled all is right it   will be but a short time before we shall all in   like manner be called. it may be the case   with me as well as you. some has supposed   that br joseph could not die but this is a   mistake it is true their has been times when   i have had the promise of my life to accomplish   such &amp; such things, but having accomplish those   things i have not at present any lease of my   life &amp; am as liable to die as other men",1842-04-09
"61",886,"april ,  ",1842-04-30
"62",886," saturday      april  spent part of the day in the    and drew home three loads of wood &amp; ploughed   part of my garden which took me untill in the   night i got exceding warm &amp; my blood heat which   gave me excessive head ake    may ,  ",1842-05-01
"63",886," sunday      may st sunday i wrote some in my accounts   books and journal      &amp; one to     may ,  ",1842-05-02
"64",886," monday to may ,  ",1842-05-04
"65",886," wednesday        and  spent in the     may ,  ",1842-05-05
"66",886," thursday      th met on parade in the morning in the officer   drill of the  legion spent part of the   day in the     may ,  ",1842-05-06
"67",886," friday      th met again on parade answered to my   name and was dissmised planted corn on   the kimball block &amp; spent part of the day   in the office    may ,  ",1842-05-07
"68",886," saturday      may th     the whole  legion met on parade   this day consisting  companies and they   truly made a splended appearance the   whole legion that were on parade were   not much less than two thousand, &amp;   mostly well dressed in uniform gen. [[joseph smith jr.|joseph   smith]] prepared a splendid dinner for   the whole staff intire with their ladies   a steem boat landed under the salute   of their music at noon near gen smiths   &amp; landed about  saints mostly from    england",1842-05-07
"69",887,"* to the font and in company with br    i baptized about one hundred for the remis-  sio of sins the healing of the body &amp; the dead   while elder  &amp; others confirmed them as   they came out of the water &amp; before leaving   i went into the pool &amp; was baptized for   my great grand father    &amp; my  wife of josiah woodruff   making five of my  dead relatives which   i have been baptized for    may ,  ",1842-05-08
"70",887," sunday      th sunday i attended meeting with   my whole family a large congregation were   assembled president  addressed the   assembly upon the subject of religion his   discourse was much to edification others   followed after meeting many were   baptized in the font and also in the     may ,  ",1842-05-09
"71",887," monday to may ,  ",1842-05-13
"72",887," friday      th th th  and  was spent in the     may ,  ",1842-05-14
"73",887," saturday      th saturday i attended the city council   through the day. it was the most interes-  ting council i ever attended in some respects   i wrote  letters to  to   . the twelve had   a council in the evening and silenced [[benjamin winchester|benjamin   winchester]] untill he made satisfaction   &amp; discountenanced the council held in       may ,  ",1842-05-15
"74",887," sunday       sunday i attended meeting at the grove   elders  spoke in the fore   part of the day and i addressed the congrega-  tion in the afternoon the first time i had   spoken to the assembly at large for more   than two years, after meeting i went *",1842-05-15
"75",965,"at the close of the meeting i was informed  my son  was  vary sick. i immediately in company with mrs   went out to see him we found him  quite sick we spent the night at br benbows  we had prayers and administered unto our son  according to the order of the priesthood  and he revived  in some measure        a council of {fifty} elders was organized to  day or had it commenced to further the interest of  the kingdom of god      march ,  ",1844-03-11
"76",965," monday      march th we spent the day and night at br   our son had a sick night it was a cold rainy time      march ,  ",1844-03-12
"77",965," tuesday      th a rainy day i rode to  and back to get some  things for  brethren of our  quorum they informed me of an interesting meeting  they had had sunday night &amp; monday. in the  evening br  came to us &amp; we had prayers  in the evening together &amp; administered to wilford  &amp; he seemed to receive a blessing      march ,  ",1844-03-13
"78",965," wednesday       i spent part of the day in writing and returned  to  i met in council  with the brethren for the first time during  the week      march ,  ",1844-03-14
"79",965," thursday       o  was with the brethren today making  some arangements concerning our mission      march ,  ",1844-03-15
"80",965," friday       i was to work in my garding and met with  some of the brethren in the evening at the  store  for prayer exhortation &amp;c      march ,  ",1844-03-16
"81",965," saturday       the female relief society met at the assembly room      march ,  ",1844-03-17
"82",965," sunday       sunday i visited the sick in the evening  their was a snow storm yet i met with some   of the saints and gave a lecture on experience    ",1844-03-17
"83",1011,"june ,  ",1843-06-19
"84",1011," monday       i finished digging my well got about    feet of water in the rock and course gravel      theire was a meeting held by a company   calling themselves labourers saying they   were oppressed &amp; manifested some spirit   of mob &amp; disrule &amp; did not act in wisdom      june ,  ",1843-06-20
"85",1011," tuesday      th i finished stoning my well it being   about  feet deep. their was also another   meeting of the labourers      june ,  ",1843-06-21
"86",1011," wednesday to june ,  ",1843-06-24
"87",1011," saturday      , ,  and  i spent getting materials   for my house &amp; in the  &amp;   writing &amp;c      june ,  ",1843-06-25
"88",1011," sunday       june sunday i attended meeting at    clock in the morning and brother [[lyman wight|lyman   wight]] (who had just returned from a   mission in the east) arose &amp; addressed the   meeting at full length from the  ch of   st corinth dwelt largely upon charity show-  ing what charity was that it was far greater   than faith &amp; hope. he took grounds to   prove that charity consisted in doing that   for others which they could not do for them-  selves for instance jesus christ died to   redeem the world, the world could not   redeem itself this is charity, if our   fore fathers &amp; mothers &amp; kindred have died   without the gospel, &amp; we embrace the   gospel in our day &amp; generation &amp; can redeem   our relatives by being baptized for them   they being dead that they may have part   in the first resurrection, should we do this   it would be charity for we should do for",1843-06-25
"89",1013,"and to save the life of  he stoped  they then took joseph into a carrage   &amp; started for  they got about    miles &amp; they were stoped by the inhab-  itants who swore they should nok   carry joseph smith any further without   giving him the chance of law &amp; the writ   of habeas corpus &amp; they took out a writ   against the sherriff    of  &amp;c. &amp; they now wanted to   get a company to go to joseph to see that   he had his rights &amp; br  called for   volunteers &amp; their was two or three hundred   came out to go, the whole  flocked together   they made a choice of such as they   wished, general laws &amp;  went with   a company of near  men on horsback   and about  or  on board of the maid   of iowa, the horsmen went by land the   those on the boat went down the  to   the mouth of the  &amp; up that river   to  the horse company left the city   abot  oclok in the evening &amp; the boat untill   next morning       june ,  ",1843-06-26
"90",1013," monday       their was several natives of the   potawatemys through  called to   see the  wanted   to talk had no interpeter that could inte-  rpet much they spoke about their great   father great spirit andc they manifested   a desire to see the temple &amp; the city said   they were hungry i took them home &amp; fed   them gave them some trinklets &amp;c    ",1843-06-26
